date,time,frequency
2021-08-16,11:11:45,49.995
2021-08-16,11:12:00,49.98
2021-08-16,11:12:15,49.954
2021-08-16,11:12:30,49.962
2021-08-16,11:12:45,49.976
2021-08-16,11:13:00,49.969
2021-08-16,11:13:15,49.976
2021-08-16,11:13:30,49.977
2021-08-16,11:13:45,49.955
2021-08-16,11:14:00,49.977
2021-08-16,11:14:15,49.979
2021-08-16,11:14:30,50.007
2021-08-16,11:14:45,50.023
2021-08-16,11:15:00,50.029
2021-08-16,11:15:15,50.015
2021-08-16,11:15:30,49.99
2021-08-16,11:15:45,50.02
2021-08-16,11:16:00,50.019
2021-08-16,11:16:15,50.034
2021-08-16,11:16:30,50.038
2021-08-16,11:16:45,50.043
2021-08-16,11:17:00,50.05
2021-08-16,11:17:15,50.033
2021-08-16,11:17:30,50.049
2021-08-16,11:17:45,50.063
2021-08-16,11:18:00,50.043
2021-08-16,11:18:15,50.061
2021-08-16,11:18:30,50.051
2021-08-16,11:18:45,50.07
2021-08-16,11:19:00,50.05
2021-08-16,11:19:15,50.064
2021-08-16,11:19:30,50.064
2021-08-16,11:19:45,50.076
2021-08-16,11:20:00,50.07
2021-08-16,11:20:15,50.075
2021-08-16,11:20:30,50.065
2021-08-16,11:20:45,50.083
2021-08-16,11:21:00,50.05
2021-08-16,11:21:15,50.04
2021-08-16,11:21:30,50.018
2021-08-16,11:21:45,50.019
2021-08-16,11:22:00,50.029
2021-08-16,11:22:15,50.039
2021-08-16,11:22:30,50.021
2021-08-16,11:22:45,50.02
2021-08-16,11:23:00,50.022
2021-08-16,11:23:15,50.025
2021-08-16,11:23:30,50.026
2021-08-16,11:23:45,50.0
2021-08-16,11:24:00,50.026
2021-08-16,11:24:15,50.009
2021-08-16,11:24:30,50.024
2021-08-16,11:24:45,50.008
2021-08-16,11:25:00,50.026
2021-08-16,11:25:15,50.037
2021-08-16,11:25:30,50.033
2021-08-16,11:25:45,50.044
2021-08-16,11:26:00,50.031
2021-08-16,11:26:15,50.031
2021-08-16,11:26:30,50.042
2021-08-16,11:26:45,50.027
2021-08-16,11:27:00,50.031
2021-08-16,11:27:15,50.034
2021-08-16,11:27:30,50.018
2021-08-16,11:27:45,49.997
2021-08-16,11:28:00,50.002
2021-08-16,11:28:15,49.978
2021-08-16,11:28:30,50.007
2021-08-16,11:28:45,49.99
2021-08-16,11:29:00,50.001
2021-08-16,11:29:15,49.973
2021-08-16,11:29:30,49.969
2021-08-16,11:29:45,49.958
2021-08-16,11:30:00,49.957
2021-08-16,11:30:15,49.952
2021-08-16,11:30:30,49.965
2021-08-16,11:30:45,49.943
2021-08-16,11:31:00,49.944
2021-08-16,11:31:15,49.93
2021-08-16,11:31:30,49.938
2021-08-16,11:31:45,49.922
2021-08-16,11:32:00,49.924
2021-08-16,11:32:15,49.919
2021-08-16,11:32:30,49.926
2021-08-16,11:32:45,49.988
2021-08-16,11:33:00,50.004
2021-08-16,11:33:15,49.985
2021-08-16,11:33:30,49.996
2021-08-16,11:33:45,50.017
2021-08-16,11:34:00,50.036
2021-08-16,11:34:15,50.024
2021-08-16,11:34:30,50.006
2021-08-16,11:34:45,50.018
2021-08-16,11:35:00,50.018
2021-08-16,11:35:15,50.015
2021-08-16,11:35:30,50.006
2021-08-16,11:35:45,50.017
2021-08-16,11:36:00,50.045
