current.temp_c,current.wind_kph,current.wind_dir,Temperature,forecast.forecastday.hour.wind_kph,forecast.forecastday.hour.wind_dir,Date,Time
17.0,25.9,WNW,17.2,12.6,WNW,2021-08-16,00:00:00
17.0,25.9,WNW,16.4,13.7,WNW,2021-08-16,01:00:00
17.0,25.9,WNW,15.5,14.4,WNW,2021-08-16,02:00:00
17.0,25.9,WNW,14.7,15.5,NW,2021-08-16,03:00:00
17.0,25.9,WNW,14.4,15.8,WNW,2021-08-16,04:00:00
17.0,25.9,WNW,14.0,16.6,WNW,2021-08-16,05:00:00
17.0,25.9,WNW,13.7,16.9,WNW,2021-08-16,06:00:00
17.0,25.9,WNW,14.5,17.6,WNW,2021-08-16,07:00:00
17.0,25.9,WNW,15.2,18.7,WNW,2021-08-16,08:00:00
17.0,25.9,WNW,16.0,19.4,NW,2021-08-16,09:00:00
17.0,25.9,WNW,16.7,18.4,NW,2021-08-16,10:00:00
17.0,25.9,WNW,17.4,17.6,WNW,2021-08-16,11:00:00
17.0,25.9,WNW,18.1,16.6,WNW,2021-08-16,12:00:00
17.0,25.9,WNW,18.3,16.9,WNW,2021-08-16,13:00:00
17.0,25.9,WNW,18.6,17.3,NW,2021-08-16,14:00:00
17.0,25.9,WNW,18.8,17.6,NW,2021-08-16,15:00:00
17.0,25.9,WNW,18.8,16.6,NW,2021-08-16,16:00:00
17.0,25.9,WNW,18.7,15.8,NW,2021-08-16,17:00:00
17.0,25.9,WNW,18.7,14.8,NW,2021-08-16,18:00:00
17.0,25.9,WNW,18.0,13.7,NW,2021-08-16,19:00:00
17.0,25.9,WNW,17.3,13.0,NW,2021-08-16,20:00:00
17.0,25.9,WNW,16.6,11.9,NW,2021-08-16,21:00:00
17.0,25.9,WNW,16.0,11.9,NW,2021-08-16,22:00:00
17.0,25.9,WNW,15.4,11.9,WNW,2021-08-16,23:00:00
