type,wind_type,date,period,quantitysettlementDate
Wind generation,Wind Offshore,2021-08-15,48.0,4692.907
Wind generation,Wind Offshore,2021-08-15,47.0,4692.907
Wind generation,Wind Offshore,2021-08-15,46.0,4644.879
Wind generation,Wind Offshore,2021-08-15,45.0,4644.879
Wind generation,Wind Offshore,2021-08-15,44.0,4537.9
Wind generation,Wind Offshore,2021-08-15,43.0,4537.9
Wind generation,Wind Offshore,2021-08-15,42.0,4397.604
Wind generation,Wind Offshore,2021-08-15,41.0,4397.604
Wind generation,Wind Offshore,2021-08-15,40.0,4118.459
Wind generation,Wind Offshore,2021-08-15,39.0,4118.459
Wind generation,Wind Offshore,2021-08-15,38.0,3431.539
Wind generation,Wind Offshore,2021-08-15,37.0,3431.539
Wind generation,Wind Offshore,2021-08-15,36.0,2768.965
Wind generation,Wind Offshore,2021-08-15,35.0,2768.965
Wind generation,Wind Offshore,2021-08-15,34.0,2279.123
Wind generation,Wind Offshore,2021-08-15,33.0,2279.123
Wind generation,Wind Offshore,2021-08-15,32.0,2037.244
Wind generation,Wind Offshore,2021-08-15,31.0,2037.244
Wind generation,Wind Offshore,2021-08-15,30.0,1845.849
Wind generation,Wind Offshore,2021-08-15,29.0,1845.849
Wind generation,Wind Offshore,2021-08-15,28.0,1748.364
Wind generation,Wind Offshore,2021-08-15,27.0,1748.364
Wind generation,Wind Offshore,2021-08-15,26.0,1731.3210000000001
Wind generation,Wind Offshore,2021-08-15,25.0,1731.3210000000001
Wind generation,Wind Offshore,2021-08-15,24.0,1736.5339999999999
Wind generation,Wind Offshore,2021-08-15,23.0,1736.5339999999999
Wind generation,Wind Offshore,2021-08-15,22.0,1679.931
Wind generation,Wind Offshore,2021-08-15,21.0,1679.931
Wind generation,Wind Offshore,2021-08-15,20.0,1485.632
Wind generation,Wind Offshore,2021-08-15,19.0,1485.632
Wind generation,Wind Offshore,2021-08-15,18.0,1277.775
Wind generation,Wind Offshore,2021-08-15,17.0,1277.775
Wind generation,Wind Offshore,2021-08-15,16.0,1108.917
Wind generation,Wind Offshore,2021-08-15,15.0,1108.917
Wind generation,Wind Offshore,2021-08-15,14.0,968.4830000000001
Wind generation,Wind Offshore,2021-08-15,13.0,968.4830000000001
Wind generation,Wind Offshore,2021-08-15,12.0,863.703
Wind generation,Wind Offshore,2021-08-15,11.0,863.703
Wind generation,Wind Offshore,2021-08-15,10.0,812.19
Wind generation,Wind Offshore,2021-08-15,9.0,812.19
Wind generation,Wind Offshore,2021-08-15,8.0,851.91
Wind generation,Wind Offshore,2021-08-15,7.0,851.91
Wind generation,Wind Offshore,2021-08-15,6.0,909.8610000000001
Wind generation,Wind Offshore,2021-08-15,5.0,909.8610000000001
Wind generation,Wind Offshore,2021-08-15,4.0,996.971
Wind generation,Wind Offshore,2021-08-15,3.0,996.971
Wind generation,Wind Offshore,2021-08-15,2.0,1347.747
Wind generation,Wind Offshore,2021-08-15,1.0,1347.747
