type,wind_type,date,period,quantitysettlementDate
Wind generation,Wind Onshore,2021-08-15,48.0,3401.9959999999996
Wind generation,Wind Onshore,2021-08-15,47.0,3401.9959999999996
Wind generation,Wind Onshore,2021-08-15,46.0,3460.565
Wind generation,Wind Onshore,2021-08-15,45.0,3460.565
Wind generation,Wind Onshore,2021-08-15,44.0,3512.927
Wind generation,Wind Onshore,2021-08-15,43.0,3512.927
Wind generation,Wind Onshore,2021-08-15,42.0,3560.173
Wind generation,Wind Onshore,2021-08-15,41.0,3560.173
Wind generation,Wind Onshore,2021-08-15,40.0,3784.349
Wind generation,Wind Onshore,2021-08-15,39.0,3784.349
Wind generation,Wind Onshore,2021-08-15,38.0,3548.07
Wind generation,Wind Onshore,2021-08-15,37.0,3548.07
Wind generation,Wind Onshore,2021-08-15,36.0,3107.5690000000004
Wind generation,Wind Onshore,2021-08-15,35.0,3107.5690000000004
Wind generation,Wind Onshore,2021-08-15,34.0,2725.132
Wind generation,Wind Onshore,2021-08-15,33.0,2725.132
Wind generation,Wind Onshore,2021-08-15,32.0,2294.214
Wind generation,Wind Onshore,2021-08-15,31.0,2294.214
Wind generation,Wind Onshore,2021-08-15,30.0,1943.386
Wind generation,Wind Onshore,2021-08-15,29.0,1943.386
Wind generation,Wind Onshore,2021-08-15,28.0,1693.0839999999994
Wind generation,Wind Onshore,2021-08-15,27.0,1693.0839999999994
Wind generation,Wind Onshore,2021-08-15,26.0,1479.681
Wind generation,Wind Onshore,2021-08-15,25.0,1479.681
Wind generation,Wind Onshore,2021-08-15,24.0,1310.265
Wind generation,Wind Onshore,2021-08-15,23.0,1310.265
Wind generation,Wind Onshore,2021-08-15,22.0,1168.073
Wind generation,Wind Onshore,2021-08-15,21.0,1168.073
Wind generation,Wind Onshore,2021-08-15,20.0,1077.586
Wind generation,Wind Onshore,2021-08-15,19.0,1077.586
Wind generation,Wind Onshore,2021-08-15,18.0,998.2769999999999
Wind generation,Wind Onshore,2021-08-15,17.0,998.2769999999999
Wind generation,Wind Onshore,2021-08-15,16.0,939.203
Wind generation,Wind Onshore,2021-08-15,15.0,939.203
Wind generation,Wind Onshore,2021-08-15,14.0,925.018
Wind generation,Wind Onshore,2021-08-15,13.0,925.018
Wind generation,Wind Onshore,2021-08-15,12.0,926.115
Wind generation,Wind Onshore,2021-08-15,11.0,926.115
Wind generation,Wind Onshore,2021-08-15,10.0,940.587
Wind generation,Wind Onshore,2021-08-15,9.0,940.587
Wind generation,Wind Onshore,2021-08-15,8.0,942.368
Wind generation,Wind Onshore,2021-08-15,7.0,942.368
Wind generation,Wind Onshore,2021-08-15,6.0,961.275
Wind generation,Wind Onshore,2021-08-15,5.0,961.275
Wind generation,Wind Onshore,2021-08-15,4.0,990.88
Wind generation,Wind Onshore,2021-08-15,3.0,990.88
Wind generation,Wind Onshore,2021-08-15,2.0,1185.241
Wind generation,Wind Onshore,2021-08-15,1.0,1185.241
