From,To,Intensity,Fuel,Value
2021-08-02T23:30Z,2021-08-03T00:00Z,112,biomass,0.0
2021-08-02T23:30Z,2021-08-03T00:00Z,112,coal,0.0
2021-08-02T23:30Z,2021-08-03T00:00Z,112,imports,73.8
2021-08-02T23:30Z,2021-08-03T00:00Z,112,gas,24.3
2021-08-02T23:30Z,2021-08-03T00:00Z,112,nuclear,0.0
2021-08-02T23:30Z,2021-08-03T00:00Z,112,other,0.0
2021-08-02T23:30Z,2021-08-03T00:00Z,112,hydro,0.2
2021-08-02T23:30Z,2021-08-03T00:00Z,112,solar,0.0
2021-08-02T23:30Z,2021-08-03T00:00Z,112,wind,1.8
2021-08-03T00:00Z,2021-08-03T00:30Z,108,biomass,0.0
2021-08-03T00:00Z,2021-08-03T00:30Z,108,coal,0.0
2021-08-03T00:00Z,2021-08-03T00:30Z,108,imports,74.8
2021-08-03T00:00Z,2021-08-03T00:30Z,108,gas,23.3
2021-08-03T00:00Z,2021-08-03T00:30Z,108,nuclear,0.0
2021-08-03T00:00Z,2021-08-03T00:30Z,108,other,0.0
2021-08-03T00:00Z,2021-08-03T00:30Z,108,hydro,0.2
2021-08-03T00:00Z,2021-08-03T00:30Z,108,solar,0.0
2021-08-03T00:00Z,2021-08-03T00:30Z,108,wind,1.6
2021-08-03T00:30Z,2021-08-03T01:00Z,95,biomass,0.0
2021-08-03T00:30Z,2021-08-03T01:00Z,95,coal,0.0
2021-08-03T00:30Z,2021-08-03T01:00Z,95,imports,78.3
2021-08-03T00:30Z,2021-08-03T01:00Z,95,gas,19.8
2021-08-03T00:30Z,2021-08-03T01:00Z,95,nuclear,0.0
2021-08-03T00:30Z,2021-08-03T01:00Z,95,other,0.0
2021-08-03T00:30Z,2021-08-03T01:00Z,95,hydro,0.2
2021-08-03T00:30Z,2021-08-03T01:00Z,95,solar,0.0
2021-08-03T00:30Z,2021-08-03T01:00Z,95,wind,1.7
2021-08-03T01:00Z,2021-08-03T01:30Z,92,biomass,0.0
2021-08-03T01:00Z,2021-08-03T01:30Z,92,coal,0.0
2021-08-03T01:00Z,2021-08-03T01:30Z,92,imports,79.3
2021-08-03T01:00Z,2021-08-03T01:30Z,92,gas,18.9
2021-08-03T01:00Z,2021-08-03T01:30Z,92,nuclear,0.0
2021-08-03T01:00Z,2021-08-03T01:30Z,92,other,0.0
2021-08-03T01:00Z,2021-08-03T01:30Z,92,hydro,0.2
2021-08-03T01:00Z,2021-08-03T01:30Z,92,solar,0.0
2021-08-03T01:00Z,2021-08-03T01:30Z,92,wind,1.5
2021-08-03T01:30Z,2021-08-03T02:00Z,92,biomass,0.0
2021-08-03T01:30Z,2021-08-03T02:00Z,92,coal,0.0
2021-08-03T01:30Z,2021-08-03T02:00Z,92,imports,79.6
